cps_code,cps_label,occ_label_bigram,occ_label_unigram,occ_label_bigram_plural,occ_label_unigram_plural
8500,Cabinetmakers,carpenter,carpenter,carpenters,carpenters
8510,Furniture Finishers,carpenter,carpenter,carpenters,carpenters
8530,Sawing Machine Operators,carpenter,carpenter,carpenters,carpenters
8540,Woodworking Machine Operators,carpenter,carpenter,carpenters,carpenters
8550,Misc Woodworkers,woodworker,woodworker,woodworkers,woodworkers
8600,Power Plant Operators,operator,operator,operators,operators
8610,Boiler Operators,operator,operator,operators,operators
8620,Water Treatment Operators,operator,operator,operators,operators
8630,Plant Operators,operator,operator,operators,operators
8640,Chemical Machine Operators,operator,operator,operators,operators
8650,Grinding and Mixing Workers,laborer,laborer,laborers,laborers
8710,Cutting Workers,cutter,cutter,cutters,cutters
8720,Forming Machine Operators,operator,operator,operators,operators
8730,Furnace Operators,operator,operator,operators,operators
8740,Inspectors and Testers,inspector,inspector,inspectors,inspectors
8750,Jewelers,jeweler,jeweler,jewelers,jewelers
8760,Lab Technicians,lab technician,technician,lab technicians,technicians
8800,Packaging Machine Operators,operator,operator,operators,operators
8810,Painting Workers,painter,painter,painters,painters
8830,Photo Processing Workers,technician,technician,technicians,technicians
8840,Semiconductor Workers,technician,technician,technicians,technicians
8850,Adhesive Machine Operators,operator,operator,operators,operators
8860,Cleaning Machine Operators,cleaner,cleaner,cleaners,cleaners
8900,Cooling Equipment Operators,operator,operator,operators,operators
8910,Engravers,engraver,engraver,engravers,engravers
8920,Molders,molder,molder,molders,molders
8930,Paper Machine Operators,operator,operator,operators,operators
8940,Tire Builders,laborer,laborer,laborers,laborers
8950,Production Helpers,helper,helper,helpers,helpers
8965,Production Workers,laborer,laborer,laborers,laborers
9000,Transport Supervisors,transport supervisor,supervisor,transport supervisors,supervisors
9030,Pilots,pilot,pilot,pilots,pilots
9040,Air Traffic Controllers,controller,controller,controllers,controllers
9050,Flight Attendants,flight attendant,attendant,flight attendants,attendants
9100,Ambulance Drivers,ambulance driver,driver,ambulance drivers,drivers
9110,Bus Drivers,bus driver,driver,bus drivers,drivers
9120,Truck Drivers,truck driver,driver,truck drivers,drivers
9130,Truck Drivers,truck driver,driver,truck drivers,drivers
9140,Taxi Drivers,taxi driver,driver,taxi drivers,drivers
9150,Misc Drivers,driver,driver,drivers,drivers
9200,Train Operators,train driver,driver,train drivers,drivers
9240,Rail Conductors,conductor,conductor,conductors,conductors
9260,Subway Operators,conductor,conductor,conductors,conductors
9300,Sailors,sailor,sailor,sailors,sailors
9310,Ship Captains,ship captain,captain,ship captains,captains
9350,Parking Attendants,attendant,attendant,attendants,attendants
9360,Service Attendants,attendant,attendant,attendants,attendants
9410,Transport Inspectors,inspector,inspector,inspectors,inspectors
9415,Transport Attendants,attendant,attendant,attendants,attendants
9420,Misc Transport Workers,laborer,laborer,laborers,laborers
9500,Conveyor Operators,operator,operator,operators,operators
9510,Crane Operators,operator,operator,operators,operators
9520,Excavation Operators,operator,operator,operators,operators
9560,Hoist Operators,operator,operator,operators,operators
9600,Industrial Truck Operators,operator,operator,operators,operators
9610,Vehicle Cleaners,vehicle cleaner,cleaner,vehicle cleaners,cleaners
9620,Material Movers,mover,mover,movers,movers
9630,Machine Feeders,laborer,laborer,laborers,laborers
9640,"Packers and Packagers, Hand",packer,packer,packers,packers
9650,Pumping Station Operators,pump operator,operator,pump operators,operators
9720,Refuse and Recyclable Material Collectors,garbage collector,collector,garbage collectors,collectors
9750,Miscellaneous Material Moving Workers,mover,mover,movers,movers
9800,Military Officers,military officer,officer,military officers,officers
9810,Military Supervisors,military supervisor,supervisor,military supervisors,supervisors
9820,Enlisted Military Personnel,soldier,soldier,soldiers,soldiers
9830,"Military, Rank Not Specified",soldier,soldier,soldiers,soldiers
9920,Unemployed (no recent work),unemployed,unemployed,unemployed,unemployed
7210,Bus and Truck Mechanics and Diesel Engine Specialists,truck mechanic,mechanic,truck mechanics,mechanics
